X.1,X,ID,Duration_in_seconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Q26_First_Click,Q26_Last_Click,Q26_Page_Submit,Q26_Click_Count,Briefing_Message,Course_Code,Course_Ratings_Learning_Community,Course_Ratings_Findings,Course_Ratings_Resources,Course_Ratings_Relevant_Assessment,Course_Ratings_Quality,Best_Course_Features,Course_Improvements,Instructor_Ratings_Participation,Instructor_Ratings_Feedback,Instructor_Ratings_Overall,BF,IM,Student_Gender.Female.,Student_Gender.Male,Student_Gender.Unknown,Student_Gender.NA,International,Year,WAM,Ethnicity.Asian,Ethnicity.Hispanic,Ethnicity.Indigenous,Ethnicity.Other,Ethnicity.Pacific,Ethnicity.Persian,Ethnicity.Unanswered,Ethnicity.White,Group,Staff_ID,SF_Gender.Female,SF_Gender.Male.,SF_Gender.NA,SF_Ethnicity.Asian,SF_Ethnicity.White,SF_Ethnicity.NA,SF_Birthplace_Australia,SF_Parent_Birthplace_Australia,SF_Language_English.Primary,SF_Language_English.Secondary,SF_Language_English.NA,SF_Course_Experience,SF_Teaching_Experience,Message_Time,No_WAM,RE
74,87,87,-0.131571779,1,35:00.0,R_2DN8OQvtmaUmhcJ,anonymous,EN,"I agree, start questionnaire",14.915,14.915,34.393,1,I have read the above statement,PSYC1024,-0.060997312,-0.135757368,0.211440132,1.001920934,0.139223093,Natalie is an amazing lecturer. She brings so much energy to all of her lectures. The content is also very interesting.,"The brief for the essay is quite confusing and not very clear. If we were to get more information from when the brief is released, it would have been more helpful for those who start early and aren't leaving the essay to the last minute.",0.96817595,0.950082003,6,"The enthusiasm, the engagement, the explanations and examples are very clear",Nothing that I can think of,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,STAFF_027,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,0.227472236,-0.266885214,-0.345727664,1,STAFF_027 PSYC1024
75,88,88,-0.150911656,1,04:00.0,R_2dsezuaTCkBORWr,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,GENS0401,0.720237486,-1.527270391,0.211440132,0.104024578,0.139223093,The engagement and the discussion forums,The delivery of the content - maybe lecture style?,0.081729139,0.950082003,5,Gab is very knowledgeable ,"""In terms content delivery, I would like lecture videos instead of reading material""",1,0,0,0,0,4,0.584447286,0,0,0,1,0,0,0,0,0,STAFF_014,0,1,0,0,1,0,No,No,1,0,0,0.626310956,-0.36268265,-0.345727664,0,STAFF_014 GENS0401
76,89,89,-0.140637347,1,50:00.0,R_2DZB9tDQxdfKW2u,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1081,-0.842232109,0.559999143,1.088525125,1.001920934,0.139223093,I find the content interesting and well explained,NA,0.96817595,0.950082003,6,NA,NA,0,1,0,0,0,1,-0.011611535,0,1,0,0,0,0,0,0,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,0,0,STAFF_08 MATH1081
77,90,90,-0.136860027,1,57:00.0,R_2EhtJHyHs2PWZMs,anonymous,EN,"I agree, start questionnaire",7.406,7.406,8.169,1,I have read the above statement,MATH1131,-0.060997312,-0.135757368,0.211440132,0.104024578,0.139223093,"Abundance of resources, and support (help sessions, first year staff consult)","Forums (have to read so much stuff)
Feeling a bit overwhelmed with all the resources",-1.691164484,-1.837058927,5,Clear detailed explanations,Simplify and structure slides in a more understandable way,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,-0.345727664,1,STAFF_020 MATH1131
78,91,91,-0.136860027,1,57:00.0,R_2EhtJHyHs2PWZMs,anonymous,EN,"I agree, start questionnaire",7.406,7.406,8.169,1,I have read the above statement,MATH1131,-0.060997312,-0.135757368,0.211440132,0.104024578,0.139223093,"Abundance of resources, and support (help sessions, first year staff consult)","Forums (have to read so much stuff)
Feeling a bit overwhelmed with all the resources",-1.691164484,-0.908011951,5,NA,NA,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,-0.345727664,1,STAFF_032 MATH1131
79,93,93,-0.116613593,1,56:00.0,R_2eX2uxX0mHwZwLO,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,BIOC2101,1.501472284,1.255755655,-0.66564486,1.001920934,0.139223093,This is the first time that I have had Anne as a course coordinator and was shocked by how passionate and supportive she is. She does everything in her power to support her students and ensure that they feel heard and valued. I really appreciate Anne and wish that more course coordinators were as supportive and accommodating as she is ,Some lectures may need to include more detailed information as some students felt like information that was being assessed wasn't initially presented with enough detail,0.96817595,0.950082003,6,"""Extremely supportive and accommodating, open to suggestions and re-arrangements of classes if needed. The student body really feels as though they are being heard. She puts in amazing effort to respond to student queries and is an amazing course coordinator in general!""",N/A,1,0,0,0,0,2,0.243842245,0,0,0,0,0,0,0,1,0,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,-0.345727664,0,STAFF_04 BIOC2101
80,94,94,-0.132780522,1,59:00.0,R_2fAKzca8xOJGweC,anonymous,EN,"""I agree, start questionnaire""",15.05700016,15.05700016,16.73200035,1,I have read the above statement,MATH1241,1.501472284,-0.831513879,-0.66564486,-0.793871778,0.139223093,great lecturers!!!,more female staff,0.081729139,0.021035026,5,"""clear explanations, the """"dodgy proofs"""" are fun""",doing more revision summaries of past concepts/previous lecture,1,0,0,0,0,1,0.627022916,0,0,0,1,0,0,0,0,1,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
81,95,95,-0.132780522,1,59:00.0,R_2fAKzca8xOJGweC,anonymous,EN,"""I agree, start questionnaire""",15.05700016,15.05700016,16.73200035,1,I have read the above statement,MATH1241,1.501472284,-0.831513879,-0.66564486,-0.793871778,0.139223093,great lecturers!!!,more female staff,0.081729139,0.021035026,6,"""explains things well, really answers our questions, lots of examples, revising the previous lecture""",,1,0,0,0,0,1,0.627022916,0,0,0,1,0,0,0,0,1,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
82,96,96,-0.047413096,1,02:00.0,R_2fC1wHhlqhX6wAQ,anonymous,EN,"I agree, start questionnaire",1.014,18.655,19.06,7,I have read the above statement,MATH1081,-2.404701705,-2.223026902,0.211440132,-0.793871778,-0.760372276,The weekly quizzes are decent and the I like having videos one each topic to work my way through,I felt like sometime the suggested tutorial Questions that were next to each video were not relevant to that videos content but rather one later on in the sequence.,-2.577611296,-2.766105904,3,Seems pretty passionate and actually interested in what he's teaching,"Assuming less / explaining his conclusions a bit better especially when over video call I think it is hard for the lecturer to gauge whether or not the students follow his reasoning. More often than not the people replying and answering questions in the live chat are the ones who DO understand what's going on and if someone isn't quite understanding they probably won't reply. 

A few other lecturers do frequent anonymous polls on how people are following etc, that could be good",0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,2.215922719,1,STAFF_08 MATH1081
83,97,97,1.946558431,1,59:00.0,R_2gbCVYsCbMGDso9,anonymous,EN,"I agree, start questionnaire",1.808,10.003,13.728,2,I have read the above statement,PHYS1160,0.720237486,-0.831513879,1.088525125,1.001920934,-0.760372276,"The course structure and content. The activities are built off the lessons well, and relate. Overall, everything is really relevant and up to date. ",The way feedback is given for discussion posts is vague and could be improved beyond a numerical grade. ,NA,0.950082003,6,Prompt and helpful responses ,N/A,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,STAFF_05,0,1,0,0,1,0,No,No,1,0,0,-1.168463283,-1.033264707,0.844268645,1,STAFF_05 PHYS1160
84,98,98,-0.182490049,1,44:00.0,R_2OVAF02hsm77pkM,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,1.501472284,1.255755655,1.088525125,1.001920934,1.038818462,NA,NA,0.96817595,0.021035026,6,NA,NA,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,STAFF_012,0,1,0,0,1,0,Yes,Yes - One,1,0,0,0.227472236,0.21210197,0,1,STAFF_012 PSYC1011
85,99,99,-0.182490049,1,44:00.0,R_2OVAF02hsm77pkM,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,1.501472284,1.255755655,1.088525125,1.001920934,1.038818462,NA,NA,NA,NA,6,NA,NA,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,STAFF_030,0,1,0,0,1,0,No,No,1,0,0,2.819923914,1.170076337,0,1,STAFF_030 PSYC1011
86,100,100,-0.182490049,1,44:00.0,R_2OVAF02hsm77pkM,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,1.501472284,1.255755655,1.088525125,1.001920934,1.038818462,NA,NA,NA,0.021035026,6,NA,NA,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,STAFF_034,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,0.49949428,0,1,STAFF_034 PSYC1011
87,101,101,-0.166625306,1,01:00.0,R_2Pj9KxEgkiAq0vm,anonymous,EN,"I agree, start questionnaire",2.135,2.135,7.384,1,I have read the above statement,PSYC1024,-0.842232109,-0.135757368,1.088525125,1.001920934,0.139223093,I feel that Natalie is a great lecturer. She is very to the point but in a way that makes the information easy to understand without taking double the amount of time to explain it. She's also engaging with her examples and I love that we can see her in the videos rather than just a slide show.,"Providing transcripts would be great although I know you can download them from youtube, I think many don't know how to do that. It would make revision and study easier to do.",0.96817595,0.950082003,6,NA,NA,1,0,0,0,0,1,0.627022916,0,0,0,0,0,0,0,1,1,STAFF_02,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-1.168463283,-1.129062144,-0.345727664,0,STAFF_02 PSYC1024
88,102,102,-0.166625306,1,01:00.0,R_2Pj9KxEgkiAq0vm,anonymous,EN,"I agree, start questionnaire",2.135,2.135,7.384,1,I have read the above statement,PSYC1024,-0.842232109,-0.135757368,1.088525125,1.001920934,0.139223093,I feel that Natalie is a great lecturer. She is very to the point but in a way that makes the information easy to understand without taking double the amount of time to explain it. She's also engaging with her examples and I love that we can see her in the videos rather than just a slide show.,"Providing transcripts would be great although I know you can download them from youtube, I think many don't know how to do that. It would make revision and study easier to do.",0.96817595,0.950082003,6,Her lecturing abilities and how well she explains concepts in an understandable way.,NA,1,0,0,0,0,1,0.627022916,0,0,0,0,0,0,0,1,1,STAFF_027,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,0.227472236,-0.266885214,-0.345727664,0,STAFF_027 PSYC1024
89,103,103,-0.168287327,1,06:00.0,R_2pK8o5YA0VRNFFL,anonymous,ZH-S,"I agree, start questionnaire",4.02,4.02,7.452,1,I have read the above statement,PHYS1110,-0.842232109,-0.135757368,-1.542729853,-0.793871778,0.139223093,NA,NA,0.96817595,0.021035026,6,NA,NA,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,STAFF_022,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.969043923,-1.224859581,-0.345727664,1,STAFF_022 PHYS1110
90,105,105,-0.16738077,1,21:00.0,R_2pQasiJwy6INpAv,anonymous,EN,"""I agree, start questionnaire""",2.028000116,11.64299965,14.40699959,6,I have read the above statement,BIOC2101,0.720237486,0.559999143,1.088525125,0.104024578,0.139223093,,,0.081729139,0.021035026,6,,,1,0,0,0,0,4,0.328993505,0,0,0,1,0,0,0,0,1,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,1.05046684,0,STAFF_04 BIOC2101
91,109,109,-0.06765953,1,31:00.0,R_2PzZsTyiy8XZgLn,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,CLIM1001,-0.842232109,-0.135757368,-1.542729853,-0.793871778,-0.760372276,"""The course CLIM1005 is very informative, the structure of the lessons with quizzes At the end provide motivation to really study the information being taught. The lecturer had also been very helpful, which is particularly important with online learning. ""","""While the peer revue process is clearly valuable, I think there are flaws in the marks given by fellow groups members. As someone who missed several weeks of material due to medical issues, I didnâ€™t have the same level of understanding from group members that I have received from lecturers and tutors.""",0.96817595,0.950082003,5,"""Gab had been very accessible via email and responds to any questions asap. Again, very important when learning is online.""","""Potentially some videos by Gab would be helpful for picking up on course material. The structure of the current weekly lessons is very much focused on reading material, this is great, but some words from the lecturer via a recording might help students who are more likely to learn through visual or hearing methods (particularly given that UNSW has a large number of international students) """,1,0,0,0,0,1,0.414144765,0,0,0,0,0,0,0,1,0,STAFF_014,0,1,0,0,1,0,No,No,1,0,0,0.626310956,-0.36268265,-0.345727664,0,STAFF_014 CLIM1001
92,110,110,-0.118124521,1,51:00.0,R_2q1LN1Hqxdz9pRH,anonymous,EN,"""I agree, start questionnaire""",1.496000051,1.496000051,6.96999979,1,I have read the above statement,BIOC2101,1.501472284,0.559999143,0.211440132,1.001920934,0.139223093,"""How everything is organised catered to online learning and things are properly explained, especially when there's the live lectures with the lecturer and we can ask questions on what we do and do not understand relating to the topic we are learning.""",I think everything is set out well.,0.081729139,0.021035026,5,"""clear explanations and if there are questions, they will be answered.""",I don't think there is a need for improvement? the way everything is being taught is at a rate and pace that I am able to understand even though it's mainly self-pacing.,1,0,0,0,0,2,-0.437367836,1,0,0,0,0,0,0,0,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
93,111,111,-0.118124521,1,51:00.0,R_2q1LN1Hqxdz9pRH,anonymous,EN,"""I agree, start questionnaire""",1.496000051,1.496000051,6.96999979,1,I have read the above statement,BIOC2101,1.501472284,0.559999143,0.211440132,1.001920934,0.139223093,"""How everything is organised catered to online learning and things are properly explained, especially when there's the live lectures with the lecturer and we can ask questions on what we do and do not understand relating to the topic we are learning.""",I think everything is set out well.,0.081729139,0.021035026,5,the notes are set out nicely and in a way that I personally can understand. Listening to the lecture recording helps further develop the understanding.,I don't really know if there are any pointers on improvement.,1,0,0,0,0,2,-0.437367836,1,0,0,0,0,0,0,0,1,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,-0.345727664,0,STAFF_04 BIOC2101
94,112,112,-0.183698791,1,27:00.0,R_2qlYvFvHXd0ZJpN,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,0.720237486,-0.135757368,0.211440132,1.001920934,0.139223093,,,0.96817595,0.021035026,6,,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
95,113,113,-0.183698791,1,27:00.0,R_2qlYvFvHXd0ZJpN,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,0.720237486,-0.135757368,0.211440132,1.001920934,0.139223093,,,0.96817595,0.021035026,6,,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
96,114,114,0.098542537,1,51:00.0,R_2QSTh3nGTEt97b8,anonymous,EN,"I agree, start questionnaire",86.739,106.106,106.923,2,I have read the above statement,MATH1131,NA,0.559999143,1.088525125,1.001920934,0.139223093,"Detailed lecture recordings by Milan Pahor that can be watched at our own pace and time.
Intuitive and useful Maple T.A. software without ""automated marking issues"", ability to work at our own pace and ability to check our answers as we go.
Ability to use either workshop or tutor-led tutorials without timetabling restrictions (i.e. choosing what tutorial we want to attend).",N/A,-0.804717673,0.021035026,5,"Takes his time to go over theory and examples relating to the theory rather than skimming the content and simply asking students to ""read in their own time"", as has occurred with other subjects.",N/A,0,1,0,0,0,1,0.967627956,1,0,0,0,0,0,0,0,1,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,2.466555255,0,STAFF_020 MATH1131
97,115,115,0.098542537,1,51:00.0,R_2QSTh3nGTEt97b8,anonymous,EN,"I agree, start questionnaire",86.739,106.106,106.923,2,I have read the above statement,MATH1131,NA,0.559999143,1.088525125,1.001920934,0.139223093,"Detailed lecture recordings by Milan Pahor that can be watched at our own pace and time.
Intuitive and useful Maple T.A. software without ""automated marking issues"", ability to work at our own pace and ability to check our answers as we go.
Ability to use either workshop or tutor-led tutorials without timetabling restrictions (i.e. choosing what tutorial we want to attend).",N/A,0.081729139,0.021035026,5,NA,NA,0,1,0,0,0,1,0.967627956,1,0,0,0,0,0,0,0,1,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,2.466555255,0,STAFF_032 MATH1131
98,116,116,-0.185209719,1,21:00.0,R_2rqnZaMwoyGuH4r,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,1.501472284,-0.831513879,0.211440132,-0.793871778,0.139223093,,,0.96817595,0.950082003,6,,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
99,117,117,-0.185209719,1,21:00.0,R_2rqnZaMwoyGuH4r,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,1.501472284,-0.831513879,0.211440132,-0.793871778,0.139223093,,,0.96817595,0.950082003,6,,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
100,118,118,-0.086546128,1,01:00.0,R_2tJzoAZysJX11j5,anonymous,FR,"""I agree, start questionnaire""",2.944999933,2.944999933,26.42900085,1,I have read the above statement,BIOC2101,1.501472284,1.255755655,0.211440132,0.104024578,1.038818462,"""The level of communication from the course co-ordinator.
The effort put into providing extra resources beyond just lecture recordings and lab time.
Quality of lab tutor.
Quality of lecture/lecture material/content.""",NA. ,0.96817595,0.950082003,6,"""Clarity of presentation of content.
Runs engaging/useful revision sessions.
Approachability.
The effort and care she puts into running the course/looking after students.""",NA.,0,1,0,0,0,2,-2.991905641,0,0,0,0,0,0,0,1,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
101,119,119,-0.086546128,1,01:00.0,R_2tJzoAZysJX11j5,anonymous,FR,"""I agree, start questionnaire""",2.944999933,2.944999933,26.42900085,1,I have read the above statement,BIOC2101,1.501472284,1.255755655,0.211440132,0.104024578,1.038818462,"""The level of communication from the course co-ordinator.
The effort put into providing extra resources beyond just lecture recordings and lab time.
Quality of lab tutor.
Quality of lecture/lecture material/content.""",NA. ,0.96817595,0.950082003,6,"""To my shame I have not seen Nirmani's lectures yet for BIOC. Responses are given based on her performance in my BABS course. 
1. The clarity in her presentation of content.
2. Revision sessions provided by her are very useful and engaging.""",NA.,0,1,0,0,0,2,-2.991905641,0,0,0,0,0,0,0,1,1,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,-0.345727664,0,STAFF_04 BIOC2101
102,120,120,-0.13973079,1,52:00.0,R_2Uc7gjw3Ssqt8FD,anonymous,EN,"I agree, start questionnaire",4.144,4.144,11.605,1,I have read the above statement,MATH2018,-1.623466907,-0.831513879,1.088525125,0.104024578,1.038818462,"Lectures are clear and have lots of relevant examples. I like how quizzes come straight from lecture examples, so they aren't unfamiliar.","The moodle page is very dense. I find the calendar on top of the weekly breakdown a bit confusing - have one or the other. I lose track of what I've done and not done because clicking on the interactive timetable takes me to another table full of lectures, so when i exit that page I don't know if I have done just one topic, or a week's worth of lectures or what. Maybe just one link per lecture?",-0.804717673,-0.908011951,5,Engaging and relevant lecture examples. It's nice to have it constantly linked to real-life applications.,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,STAFF_03,1,0,0,1,0,0,No,No,0,1,0,-0.171366484,-0.266885214,-0.345727664,1,STAFF_03 MATH2018
103,121,121,-0.149249636,1,43:00.0,R_2UfwLGrtAfu2f5Y,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,-0.842232109,-2.918783413,1.088525125,-4.385457201,0.139223093,"""Comprehensive resources provided, engaging lecturers""",,0.96817595,0.950082003,6,Very engaging. Builds upon the knowledge we already know to make concepts more understandable.,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
104,122,122,-0.149249636,1,43:00.0,R_2UfwLGrtAfu2f5Y,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,-0.842232109,-2.918783413,1.088525125,-4.385457201,0.139223093,"""Comprehensive resources provided, engaging lecturers""",,-0.804717673,0.021035026,5,Debunks myths we learnt from high school to ensure we don't make mistakes.,,1,0,0,0,0,1,-2.991905641,1,0,0,0,0,0,0,0,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
105,123,123,-0.162092523,1,11:00.0,R_2uJNoYKzRVFSvwE,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,-1.623466907,-2.223026902,-3.296899838,0.104024578,0.139223093,,lectures not very capturing (maybe because online),-2.577611296,NA,2,,not very interesting,0,1,0,0,0,1,0.116115355,0,0,0,0,0,0,0,1,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
106,124,124,-0.162092523,1,11:00.0,R_2uJNoYKzRVFSvwE,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,-1.623466907,-2.223026902,-3.296899838,0.104024578,0.139223093,,lectures not very capturing (maybe because online),-2.577611296,NA,3,passionate,not very interesting (online is hard),0,1,0,0,0,1,0.116115355,0,0,0,0,0,0,0,1,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
107,125,125,-0.172215739,1,47:00.0,R_2uWC7KjtCrm3cOA,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,0.720237486,1.255755655,1.088525125,0.104024578,0.139223093,NA,NA,0.081729139,0.950082003,5,NA,NA,1,0,0,0,1,1,0.201266615,1,0,0,0,0,0,0,0,0,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,0,0,STAFF_020 MATH1131
108,126,126,-0.172215739,1,47:00.0,R_2uWC7KjtCrm3cOA,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,0.720237486,1.255755655,1.088525125,0.104024578,0.139223093,NA,NA,0.96817595,0.950082003,6,NA,NA,1,0,0,0,1,1,0.201266615,1,0,0,0,0,0,0,0,0,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,0,0,STAFF_032 MATH1131
109,127,127,-0.012510662,1,42:00.0,R_2UXe2OnZEmLJ46g,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,-0.060997312,-0.831513879,0.211440132,-0.793871778,-0.760372276,"There are many resources available to help us learn; e.g. tutorials, problems questions, video solutions, etc.",More video solutions for difficult/challenging questions would be appreciated.,-0.804717673,0.021035026,5,He is very patient and thorough with his explanations and does his best to ensure every student can understand the content.,Perhaps he is too thorough at times so he sometimes falls behind. He should try to speed up his teaching for topics which do not need too much emphasis.,1,0,0,0,0,1,0.414144765,1,0,0,0,0,0,0,0,0,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,0,0,STAFF_020 MATH1131
110,128,128,-0.012510662,1,42:00.0,R_2UXe2OnZEmLJ46g,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,-0.060997312,-0.831513879,0.211440132,-0.793871778,-0.760372276,"There are many resources available to help us learn; e.g. tutorials, problems questions, video solutions, etc.",More video solutions for difficult/challenging questions would be appreciated.,0.081729139,0.021035026,5,He writes up all his working so it is very clear what he is doing when working through the lecture slides.,"He tends to make small mistakes when working through examples. This, however, is not a major issue.",1,0,0,0,0,1,0.414144765,1,0,0,0,0,0,0,0,0,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,0,0,STAFF_032 MATH1131
111,129,129,-0.142299367,1,13:00.0,R_2uyW1IexeuRd1ZA,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1081,0.720237486,0.559999143,1.088525125,1.001920934,1.038818462,"Plenty of resources, tutors and lecturers who are engaging and can explain things well, allows me to be flexible with my learning (“web” stream versus online lectures and everything is recorded). The online tutorials are actually better than face to face, because the working is clearly shown on the screen and it’s recorded. ","I think MATH1081 should be a model course for all the other maths courses particularly the higher level ones. I can’t even complain about anything, such a well delivered course. ",0.96817595,0.950082003,6,Amazing lecture notes that are extremely well structured. Engaging and can explain content well. ,NA,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,0,1,STAFF_08 MATH1081
112,130,130,-0.156199904,1,57:00.0,R_2V1uYE7f0ick0Gq,anonymous,FR,"""I agree, start questionnaire""",34.69900131,34.69900131,35.79399872,1,I have read the above statement,MATH2801,-3.185936502,-0.831513879,1.088525125,-0.793871778,-0.760372276,Clear explanations and lot's of examples.,"""It's hard to get motivated about statistics, so making it engaging. """,-2.577611296,0.021035026,4,Clear explanations.,Being more engaging.,0,1,0,0,0,2,0.456720395,0,0,0,0,0,0,0,1,1,STAFF_017,0,1,0,0,1,0,No,No,1,0,0,-0.969043923,-0.937467271,-0.345727664,0,STAFF_017 MATH2801
113,131,131,-0.167078585,1,46:00.0,R_2vdEaoe41nTZzeJ,anonymous,EN,"""I agree, start questionnaire""",0.589999974,6.05700016,6.078000069,9,I have read the above statement,BIOC2101,0.720237486,1.255755655,0.211440132,0.104024578,1.038818462,Probably the most organised course Iâ€™m taking this trimester. Anneâ€™s weekly recaps are really thorough and she provides a lot of feedback.,,0.081729139,0.950082003,6,Really helpful and takes a lot of time to answer everyoneâ€™s questions ,,1,0,0,0,0,3,0.158690985,0,0,0,0,0,0,0,1,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,0.448135673,0,STAFF_029 BIOC2101
114,132,132,-0.167078585,1,46:00.0,R_2vdEaoe41nTZzeJ,anonymous,EN,"""I agree, start questionnaire""",0.589999974,6.05700016,6.078000069,9,I have read the above statement,BIOC2101,0.720237486,1.255755655,0.211440132,0.104024578,1.038818462,Probably the most organised course Iâ€™m taking this trimester. Anneâ€™s weekly recaps are really thorough and she provides a lot of feedback.,,0.081729139,0.021035026,5,,,1,0,0,0,0,3,0.158690985,0,0,0,0,0,0,0,1,1,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,0.448135673,0,STAFF_04 BIOC2101
115,133,133,-0.163301265,1,12:00.0,R_2vijg0Z45vsJv9z,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH2801,-2.404701705,-0.831513879,-0.66564486,0.104024578,-0.760372276,,,-0.804717673,NA,4,,,0,1,0,0,0,4,0.286417875,1,0,0,0,0,0,0,0,0,STAFF_017,0,1,0,0,1,0,No,No,1,0,0,-0.969043923,-0.937467271,-0.345727664,0,STAFF_017 MATH2801
